iter	Logloss
223	0.5102020633
224	0.5099216101
225	0.5096694383
226	0.5094871141
227	0.5093346066
228	0.5090106978
229	0.5086994833
230	0.5085614412
231	0.5084519759
232	0.5082710688
233	0.5081316097
234	0.5079424366
235	0.5078247053
236	0.507664345
237	0.5075879437
238	0.5073844822
239	0.5072239448
240	0.5070940507
241	0.506841997
242	0.5066830538
243	0.5065510341
244	0.5063475136
245	0.5061330111
246	0.5059634402
247	0.5058096928
248	0.5055964302
249	0.5054003491
250	0.5052287117
251	0.5049758905
252	0.5048320032
253	0.504740664
254	0.5046125411
255	0.5044332872
256	0.5042092788
257	0.5040084153
258	0.5037770856
259	0.503581713
260	0.5034250725
261	0.5032536122
262	0.5029431652
263	0.5027629666
264	0.5026304745
265	0.502448977
266	0.502269605
267	0.5020556339
268	0.5018546522
269	0.5017057463
270	0.5015175179
271	0.5013243299
272	0.501098314
273	0.5008676339
274	0.5007106391
275	0.500509067
276	0.5003334737
277	0.5000650652
278	0.4998619579
279	0.4996966381
280	0.4995029778
281	0.4993471048
282	0.4990303992
283	0.4989228823
284	0.4987569721
285	0.498605173
286	0.498478231
287	0.4982210997
288	0.49807119
289	0.497851787
290	0.4977582042
291	0.4976375207
292	0.4974112097
293	0.4972937145
294	0.4971217819
295	0.4969134789
296	0.496767289
297	0.4966309592
298	0.4964512329
299	0.4962009505
300	0.4960359849
301	0.4957462619
302	0.4956230396
303	0.4955335308
304	0.4953607125
305	0.4952391729
306	0.4950289806
307	0.4949027766
308	0.4945863663
309	0.4944432465
310	0.4942689817
311	0.4940604721
312	0.4939853697
313	0.4937510288
314	0.4936010306
315	0.4933964768
316	0.4932701253
317	0.4931462535
318	0.4930257176
319	0.4928792325
320	0.4927559216
321	0.4925480909
322	0.4922923176
323	0.4921417584
324	0.4919010705
325	0.4917573899
326	0.4916525299
327	0.4914170377
328	0.4913151003
329	0.4911507842
330	0.4909751909
331	0.4908082179
332	0.4905822611
333	0.490444042
334	0.4902980291
335	0.4901305247
336	0.4899234026
337	0.489719764
338	0.489606638
339	0.489493512
340	0.4893704078
341	0.4892219152
342	0.4890015084
343	0.4888568536
344	0.4886529788
345	0.4884479232
346	0.4883112391
347	0.4881842971
348	0.4879892197
349	0.4878595913
350	0.4877314684
351	0.4875684217
352	0.4872427417
353	0.4870972012
354	0.4869536682
355	0.4867795805
356	0.4864963817
357	0.4863173345
358	0.4861574171
359	0.4859481399
360	0.4858655685
361	0.4855996988
362	0.4853514534
363	0.4852301205
364	0.4850695241
365	0.4849202344
366	0.4847578667
367	0.4846663799
368	0.4845166769
369	0.4843381905
370	0.4841105805
371	0.483930441
372	0.4837989232
373	0.4835956093
374	0.4834762248
375	0.483213071
376	0.4829955574
377	0.4828729255
378	0.4826966237
379	0.4824706669
380	0.4822615374
381	0.4820249234
382	0.4818038081
383	0.4815763458
384	0.4813519241
385	0.4812389162
386	0.4811121513
387	0.4809048816
388	0.4807841096
389	0.4806127083
390	0.4803987372
391	0.4802393807
392	0.4800415283
393	0.4798688577
394	0.4797330593
395	0.4795297159
396	0.4794303469
397	0.4792604217
398	0.4791362252
399	0.4789287783
400	0.4788034305
401	0.4785639529
402	0.4783221136
403	0.4781496496
404	0.4779923301
405	0.4777935035
406	0.4775143492
407	0.477245114
408	0.4770109798
409	0.4768489369
410	0.4766887243
411	0.4766098431
412	0.4764670481
413	0.4763449476
414	0.4761344896
415	0.4760102045
416	0.4758670552
417	0.4756422203
418	0.4754954989
419	0.4754060491
420	0.4751950006
421	0.4750481612
422	0.4747908527
423	0.4746681027
424	0.4745176617
425	0.474359427
426	0.4741707853
427	0.4740391789
428	0.4738661835
429	0.4736235472
